Unnamed: 0,canonical_smiles,molecule_chembl_id,pchembl_value,target_chembl_id,target_pref_name,value
36316,CC(C)(C)c1nc2c3ccc(F)cc3c4C(=O)NC=Cc4c2[nH]1,CHEMBL21156,8.3,CHEMBL2148,Tyrosine-protein kinase JAK3,0.005
36317,Cc1cccc(Cl)c1NC(=O)c2cnc(NC(=O)C3CC3)s2,CHEMBL131577,7.36,CHEMBL2148,Tyrosine-protein kinase JAK3,0.044
36318,O=C(Nc1ccc2NC(=O)\C(=C/c3ccc[nH]3)\c2c1)c4ccccc4,CHEMBL104409,6.06,CHEMBL2148,Tyrosine-protein kinase JAK3,0.87
36319,OC(=O)c1ccc2NC(=O)\C(=C/c3ccc[nH]3)\c2c1,CHEMBL107225,6.67,CHEMBL2148,Tyrosine-protein kinase JAK3,0.213
36320,O=C1Nc2ccccc2/C/1=C/c3ccc[nH]3,CHEMBL86755,6.05,CHEMBL2148,Tyrosine-protein kinase JAK3,0.9
36321,CN(C)C(=O)c1ccc2NC(=O)\C(=C/c3ccc[nH]3)\c2c1,CHEMBL421213,6.68,CHEMBL2148,Tyrosine-protein kinase JAK3,0.21
36322,O=C(\C=C\1/C(=O)Nc2ccc(cc12)C(=O)c3cccs3)c4ccc[nH]4,CHEMBL106961,6.58,CHEMBL2148,Tyrosine-protein kinase JAK3,0.26
36323,Fc1ccc(\C=C\2/C(=O)Nc3ccc(cc23)C(=O)c4cccs4)cc1,CHEMBL107273,5.31,CHEMBL2148,Tyrosine-protein kinase JAK3,4.9
36324,O=C1Nc2ncc(cc2/C/1=C/c3ccc[nH]3)c4cccnc4,CHEMBL320646,6.46,CHEMBL2148,Tyrosine-protein kinase JAK3,0.35
36325,[O-][N+](=O)c1ccc2NC(=O)\C(=C/c3ccc[nH]3)\c2c1,CHEMBL87325,6.15,CHEMBL2148,Tyrosine-protein kinase JAK3,0.71
36326,CC(=O)Nc1ccc(\C=C\2/C(=O)Nc3ccc(cc23)C(=O)c4cccs4)cc1,CHEMBL104062,6.16,CHEMBL2148,Tyrosine-protein kinase JAK3,0.7
36327,O=C(c1cccnc1)c2ccc3NC(=O)\C(=C/c4ccc[nH]4)\c3c2,CHEMBL106944,6.78,CHEMBL2148,Tyrosine-protein kinase JAK3,0.168
36328,O=C(c1ccc2NC(=O)\C(=C/c3ccccc3)\c2c1)c4cccs4,CHEMBL321855,5.64,CHEMBL2148,Tyrosine-protein kinase JAK3,2.3
36329,CS(=O)(=O)c1ccc(\C=C\2/C(=O)Nc3ccc(cc23)C(=O)c4cccs4)cc1,CHEMBL104640,5.15,CHEMBL2148,Tyrosine-protein kinase JAK3,7.1
36330,OC(c1ccc2NC(=O)\C(=C/c3ccc[nH]3)\c2c1)c4cccs4,CHEMBL107166,6.72,CHEMBL2148,Tyrosine-protein kinase JAK3,0.19
36331,O=C(c1ccc2NC(=O)\C(=C/c3ccc[nH]3)\c2c1)c4cccs4,CHEMBL104963,7.58,CHEMBL2148,Tyrosine-protein kinase JAK3,0.026
36332,O=C1Nc2ccc(nc2/C/1=C/c3ccc[nH]3)c4cccnc4,CHEMBL318390,6.63,CHEMBL2148,Tyrosine-protein kinase JAK3,0.235
36333,O=C1Nc2ccc(cc2/C/1=C/c3ccc[nH]3)c4cccnc4,CHEMBL323994,7.57,CHEMBL2148,Tyrosine-protein kinase JAK3,0.027000000000000003
36334,O=C1Nc2cnc(cc2/C/1=C/c3ccc[nH]3)c4cccnc4,CHEMBL106571,7.52,CHEMBL2148,Tyrosine-protein kinase JAK3,0.03
