Unnamed: 0,canonical_smiles,molecule_chembl_id,pchembl_value,target_chembl_id,target_pref_name,value
138375,CN(C)CCCCn1c2ccccc2c3c4C(=O)NC(=O)c4c5c6ccccc6cnc5c13,CHEMBL283307,5.94,CHEMBL1907601,Cyclin-dependent kinase 4/cyclin D1,1.14
138376,CN(C)CCCn1c2ccccc2c3c4C(=O)NC(=O)c4c5c6ccccc6cnc5c13,CHEMBL21042,6.77,CHEMBL1907601,Cyclin-dependent kinase 4/cyclin D1,0.17
138377,OCCCn1c2ccccc2c3c4C(=O)NC(=O)c4c5cnc6ccccc6c5c13,CHEMBL21610,5.92,CHEMBL1907601,Cyclin-dependent kinase 4/cyclin D1,1.19
138378,O=C1NC(=O)c2c1c3c4ccccc4ncc3c5[nH]c6ccccc6c25,CHEMBL277471,6.17,CHEMBL1907601,Cyclin-dependent kinase 4/cyclin D1,0.6829999999999999
138379,O=C1NC(=O)c2c1c3c4ccncc4ccc3c5[nH]c6ccccc6c25,CHEMBL280949,7.16,CHEMBL1907601,Cyclin-dependent kinase 4/cyclin D1,0.069
138380,OCCCCn1c2ccccc2c3c4C(=O)NC(=O)c4c5c6ccccc6cnc5c13,CHEMBL21597,5.94,CHEMBL1907601,Cyclin-dependent kinase 4/cyclin D1,1.15
138381,COc1ccc2c(c1)[nH]c3c4cnc5ccccc5c4c6C(=O)NC(=O)c6c23,CHEMBL280704,6.68,CHEMBL1907601,Cyclin-dependent kinase 4/cyclin D1,0.21
138382,COc1ccc(cc1)c2[nH]nc3c4cccc(NC(=O)Cc5ccc(N)cc5)c4C(=O)c23,CHEMBL27275,6.32,CHEMBL1907601,Cyclin-dependent kinase 4/cyclin D1,0.48
138383,COc1ccc(cc1)c2[nH]nc3c4cccc(NC=O)c4C(=O)c23,CHEMBL281500,6.7,CHEMBL1907601,Cyclin-dependent kinase 4/cyclin D1,0.2
138384,COc1ccc(cc1)c2[nH]nc3c4ccccc4C(=O)c23,CHEMBL281470,4.35,CHEMBL1907601,Cyclin-dependent kinase 4/cyclin D1,45.0
