Unnamed: 0,canonical_smiles,molecule_chembl_id,pchembl_value,target_chembl_id,target_pref_name,value
111697,CCCCCCCCCCCCCCCCCCOC[C@H](COC(=O)O[C@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](CO)[C@@H]1O)n2ccnc2,CHEMBL2368954,4.3,CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,49.5
111698,CCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)(O)O[C@@H]1[C@H](O)C[C@@H](O)[C@H](O)[C@@H]1O)n2ccnc2,CHEMBL2368946,4.84,CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,14.5
111699,CCCCCCCCCCCCCCCCCCOC[C@H](COC(=O)O[C@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](CO)[C@H]1O)OC,CHEMBL2368953,4.08,CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,83.0
111700,CCCCCCCCCCCCCCCC(=O)C[C@H](COP(=O)(O)O[C@@H]1[C@H](O)C[C@@H](O)[C@H](O)[C@@H]1O)C(=O)CCCCCCCCCCCCCCC,CHEMBL2368944,4.42,CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,38.4
111701,CCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)(O)O[C@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](CO)[C@H]1O)OC,CHEMBL2368947,4.51,CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,31.0
111702,CCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)(O)O[C@@H]1[C@H](O)C[C@@H](O)[C@H](O)[C@@H]1O)OC,CHEMBL2368948,4.83,CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,14.8
111703,CCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)(O)O[C@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](CO)[C@H]1O)n2ccnc2,CHEMBL2368945,5.1,CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,7.9
111704,COC[C@H]1OC(=O)c2coc3C(=O)C4=C([C@@H](C[C@]5(C)[C@H](CCC45)OC(=O)CC6=CC(=O)Oc7cc(ccc67)N(C)C)OC(=O)C)[C@]1(C)c23,CHEMBL208279,6.16,CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,695.0
111705,COC[C@H]1OC(=O)c2coc3C(=O)C4=C([C@@H](C[C@@]5(C)C4CCC5=O)OC(=O)CN(C)c6ccc(c7nonc67)[N+](=O)[O-])[C@]1(C)c23,CHEMBL382875,9.15,CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,0.7
111706,CN(C)c1ccc2C(=CC(=O)Oc2c1)CC(=O)O[C@@H]3CC(=O)c4coc5C(=O)c6c7CCC(=O)c7ccc6[C@]3(C)c45,CHEMBL383037,8.72,CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,1.9
111707,COC[C@H]1OC(=O)c2coc3C(=O)C4=C([C@@H](C[C@@]5(C)C4CCC5=O)OC(=O)CC6=CC(=O)Oc7cc(ccc67)N(C)C)[C@]1(C)c23,CHEMBL383415,8.0,CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,10.1
111708,COC[C@H]1OC(=O)c2coc3C(=O)C4=C([C@@H](C[C@]5(C)[C@H](CCC45)OC(=O)CN(C)c6ccc(c7nonc67)[N+](=O)[O-])OC(=O)C)[C@]1(C)c23,CHEMBL381040,6.65,CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,225.0
111709,CN(CC(=O)O[C@@H]1CC(=O)c2coc3C(=O)c4c5CCC(=O)c5ccc4[C@]1(C)c23)c6ccc(c7nonc67)[N+](=O)[O-],CHEMBL205591,8.02,CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,9.6
111710,COC[C@H]1OC(=O)c2coc3C(=O)C4=C([C@@H](C[C@@]5(C)[C@H]4CCC5=O)OC(=O)C)[C@]1(C)c23,CHEMBL428496,8.92,CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,1.2
111711,CCC(=O)N1CCN(CC1)c2ccc(cc2C(F)(F)F)N3C(=O)C=Cc4cnc5ccc(cc5c34)c6cnc7ccccc7c6,CHEMBL1256459,6.6,CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,250.0
111712,Nc1ccc(cn1)c2ccc3ncc4C=CC(=O)N(c5cccc(c5)C(F)(F)F)c4c3c2,CHEMBL1765602,8.33,CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,4.68
111713,CN1CCC(CC1)NC(=O)c2ccc(cc2)c3ccc(cc3C(F)(F)F)N4C(=O)C=Cc5cnc6ccc(cc6c45)c7cnc8ccccc8c7,CHEMBL1795875,6.04,CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,922.0
111714,Oc1cccc(c1)c2cn3ccnc3c(n2)N4CCOCC4,CHEMBL1957484,6.71,CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,0.197
111715,Cc1cn2cc(nc(N3CCOCC3)c2n1)c4cccc(O)c4,CHEMBL1957485,7.02,CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,0.096
111716,Oc1cccc(c1)c2cn3cc(nc3c(n2)N4CCOCC4)C5CC5,CHEMBL1957486,6.47,CHEMBL2111367,PI3-kinase p110-alpha/p85-alpha,0.34
