Unnamed: 0,canonical_smiles,molecule_chembl_id,pchembl_value,target_chembl_id,target_pref_name,value
148904,CCCCCCCCC#Cc1ccc2[C@@H]3[C@@H](CO)NC(=O)[C@@H]3[C@@](C)(C(C)C)c2c1,CHEMBL440201,6.24,CHEMBL299,Protein kinase C alpha,580.0
148905,CCCCCCCCC#Cc1ccc2N(C)[C@@H](C(C)C)C(=O)N[C@H](CO)Cc2c1,CHEMBL6453,7.64,CHEMBL299,Protein kinase C alpha,23.0
148906,CCCCCCCCCCCC(=O)Oc1ccc2[C@@H]3[C@@H](CO)NC(=O)[C@@H]3[C@](C)(C(C)C)c2c1,CHEMBL173348,6.17,CHEMBL299,Protein kinase C alpha,674.0
148907,OCC(OC(=O)c1ccccc1)C(OC(=O)c2ccccc2)C(O)COC(=O)c3ccccc3,CHEMBL138868,4.89,CHEMBL299,Protein kinase C alpha,12.9
148908,OCCN(CCO)S(=O)(=O)c1cccc(Nc2ccc(O)c3C(=O)c4ccccc4C(=O)c23)c1,CHEMBL342927,4.58,CHEMBL299,Protein kinase C alpha,26.6
148909,CCCCCCCCCCCC(=O)Oc1ccc2[C@@H]3[C@@H](CO)NC(=O)[C@@H]3[C@@](C)(C(C)C)c2c1,CHEMBL368720,6.4,CHEMBL299,Protein kinase C alpha,395.0
148910,C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)\C(=C/N(CCO)CCO)\C[C@]34C)[C@@H]1CC[C@@H]2O,CHEMBL3085524,4.79,CHEMBL299,Protein kinase C alpha,16.1
148911,CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@@]3(O)[C@H]2C=C(C)C3=O)[C@@H]4C(C)(C)[C@]14OC(=O)C,CHEMBL279115,8.6,CHEMBL299,Protein kinase C alpha,2.5
148912,OCCN(CCO)S(=O)(=O)c1ccc(Nc2ccc(O)c3C(=O)c4ccccc4C(=O)c23)cc1,CHEMBL128547,5.11,CHEMBL299,Protein kinase C alpha,7.8
148913,CC(=O)OC[C@@]1(C)C(CC[C@]2(C)[C@H](CC(OC(=O)C)C3=CCOC3=O)[C@](C)(CO)CC[C@@H]12)OC(=O)C,CHEMBL422466,4.42,CHEMBL299,Protein kinase C alpha,37.7
