Unnamed: 0,canonical_smiles,molecule_chembl_id,pchembl_value,target_chembl_id,target_pref_name,value
19437,CC(C)(C)c1nc2c3ccc(F)cc3c4C(=O)NC=Cc4c2[nH]1,CHEMBL21156,5.11,CHEMBL3234,Tyrosine-protein kinase HCK,7.7
19438,Cc1cccc(Cl)c1NC(=O)c2cnc(NC(=O)C3CC3)s2,CHEMBL131577,6.51,CHEMBL3234,Tyrosine-protein kinase HCK,0.31
19439,Cc1cc(Nc2ncc(s2)C(=O)Nc3c(C)cccc3Cl)nc(C)n1,CHEMBL364623,8.7,CHEMBL3234,Tyrosine-protein kinase HCK,0.002
19440,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C,CHEMBL607707,5.64,CHEMBL3234,Tyrosine-protein kinase HCK,2.3
19441,CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C,CHEMBL535,5.48,CHEMBL3234,Tyrosine-protein kinase HCK,3.3
19442,CN(C)C[C@@H]1CCn2cc(C3=C(C(=O)NC3=O)c4cn(CCO1)c5ccccc45)c6ccccc26,CHEMBL91829,5.55,CHEMBL3234,Tyrosine-protein kinase HCK,2.8
19443,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,CHEMBL388978,7.92,CHEMBL3234,Tyrosine-protein kinase HCK,0.012
19444,Fc1ccc(SC2=NN3C=NC(=O)C(=C3C=C2)c4c(Cl)cccc4Cl)c(F)c1,CHEMBL119385,5.0,CHEMBL3234,Tyrosine-protein kinase HCK,10.0
19445,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC4CCN(C)CC4,CHEMBL24828,5.38,CHEMBL3234,Tyrosine-protein kinase HCK,4.2
19446,Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl,CHEMBL31965,5.24,CHEMBL3234,Tyrosine-protein kinase HCK,5.7
19447,COc1cc(ccc1NC(=O)c2cc3ccccc3n2C)c4nn([C@@H]5CC[C@H](CC5)N6CCN(CC6)C(=O)C)c7ncnc(N)c47,CHEMBL197603,5.91,CHEMBL3234,Tyrosine-protein kinase HCK,1.22
19448,CCN(CC)CCOc1ccc(Nc2ncc3C=C(N4N(CCC4=O)c3n2)c5c(Cl)cccc5Cl)cc1,CHEMBL379517,7.32,CHEMBL3234,Tyrosine-protein kinase HCK,48.0
19449,CN(C)c1ccc(Nc2ncc3C=C(N4N(CCC4=O)c3n2)c5cc(O)ccc5Cl)cc1,CHEMBL211852,6.26,CHEMBL3234,Tyrosine-protein kinase HCK,546.0
19450,CN1CCN(CC1)c2ccc(Nc3ncc4C=C(N5N(CCC5=O)c4n3)c6cc(O)ccc6Cl)cc2,CHEMBL213356,6.34,CHEMBL3234,Tyrosine-protein kinase HCK,456.0
19451,Clc1cccc(Cl)c1C2=Cc3cnc(Nc4ccc(cc4)N5CCOCC5)nc3N6CCC(=O)N26,CHEMBL213745,6.8,CHEMBL3234,Tyrosine-protein kinase HCK,160.0
19453,CCN(CC)CCNc1cc(Nc2cc(O)ccc2C)nc(n1)n3cnc4ccccc34,CHEMBL434369,7.34,CHEMBL3234,Tyrosine-protein kinase HCK,46.0
19454,COc1cc(ccc1NC(=O)c2cc3ccccc3n2C)c4csc5c(\C=C\CN6CCC(O)CC6)cnc(N)c45,CHEMBL233958,5.0,CHEMBL3234,Tyrosine-protein kinase HCK,10.0
19455,COc1cc(ccc1NC(=O)c2cc3ccccc3n2C)c4csc5c(\C=C\CN[C@@H]6CC[C@H](N)CC6)cnc(N)c45,CHEMBL395666,4.7,CHEMBL3234,Tyrosine-protein kinase HCK,20.1
19456,COc1cc(ccc1NC(=O)c2cc3ccccc3n2C)c4csc5c(\C=C\CN[C@@H]6CC[C@@H](N)CC6)cnc(N)c45,CHEMBL395665,4.62,CHEMBL3234,Tyrosine-protein kinase HCK,24.1
19457,COc1cc(ccc1NC(=O)c2cc3ccccc3n2C)c4csc5c(\C=C\CNC6CCNCC6)cnc(N)c45,CHEMBL395664,4.62,CHEMBL3234,Tyrosine-protein kinase HCK,24.2
19458,COc1cc(ccc1NC(=O)c2cc3ccccc3n2C)c4csc5c(\C=C\CN6CCN(C)C(=O)C6)cnc(N)c45,CHEMBL395663,4.89,CHEMBL3234,Tyrosine-protein kinase HCK,12.9
19459,COc1cc(ccc1NC(=O)c2cc3ccccc3n2C)c4csc5c(\C=C\CN6CCN(C)CC6)cnc(N)c45,CHEMBL395662,5.22,CHEMBL3234,Tyrosine-protein kinase HCK,5.97
19460,COc1cc(ccc1NC(=O)c2cc3ccccc3n2C)c4csc5c(\C=C\CNC(=O)C)cnc(N)c45,CHEMBL232927,5.63,CHEMBL3234,Tyrosine-protein kinase HCK,2.36
