Unnamed: 0,canonical_smiles,molecule_chembl_id,pchembl_value,target_chembl_id,target_pref_name,value
85654,COc1cccc(c1)c2ccc3\C(=C\c4[nH]c5CCCCc5c4CCC(=O)O)\C(=O)Nc3c2,CHEMBL432941,5.87,CHEMBL3650,Fibroblast growth factor receptor 1,1.35
85655,COc1ccc2\C(=C\c3[nH]c4CCCCc4c3CCC(=O)O)\C(=O)Nc2c1,CHEMBL420609,5.97,CHEMBL3650,Fibroblast growth factor receptor 1,1.08
85656,COc1cccc(c1)c2ccc3\C(=C\c4cc5CCCCc5[nH]4)\C(=O)Nc3c2,CHEMBL419682,4.76,CHEMBL3650,Fibroblast growth factor receptor 1,17.5
85657,COc1ccccc1c2ccc3\C(=C\c4cc5CCCCc5[nH]4)\C(=O)Nc3c2,CHEMBL88462,4.75,CHEMBL3650,Fibroblast growth factor receptor 1,17.7
85658,OC(=O)CCc1c2CCCCc2[nH]c1\C=C\3/C(=O)Nc4ccc(cc34)C(=O)O,CHEMBL431996,6.66,CHEMBL3650,Fibroblast growth factor receptor 1,0.22
85659,OC(=O)CCc1c2CCCCc2[nH]c1\C=C\3/C(=O)Nc4cc(ccc34)c5ccccc5,CHEMBL88771,5.9,CHEMBL3650,Fibroblast growth factor receptor 1,1.27
85660,COc1ccc(cc1)c2ccc3\C(=C\c4[nH]c5CCCCc5c4CCC(=O)O)\C(=O)Nc3c2,CHEMBL91815,6.06,CHEMBL3650,Fibroblast growth factor receptor 1,0.88
85661,O=C1Nc2ccccc2/C/1=C/c3cc4CCCCc4[nH]3,CHEMBL328029,4.98,CHEMBL3650,Fibroblast growth factor receptor 1,10.5
85662,OC(=O)CCc1c2CCCCc2[nH]c1\C=C\3/C(=O)Nc4ccc(Br)cc34,CHEMBL314995,6.57,CHEMBL3650,Fibroblast growth factor receptor 1,0.27
85663,NS(=O)(=O)c1ccc2NC(=O)\C(=C/c3cc4CCCCc4[nH]3)\c2c1,CHEMBL88483,6.66,CHEMBL3650,Fibroblast growth factor receptor 1,0.22
85664,Cc1c[nH]c(\C=C\2/C(=O)Nc3ccccc23)c1CCC(=O)O,CHEMBL89363,7.52,CHEMBL3650,Fibroblast growth factor receptor 1,0.03
85665,Cc1cc(C)c(\C=C\2/C(=O)Nc3ccccc23)[nH]1,CHEMBL276711,5.15,CHEMBL3650,Fibroblast growth factor receptor 1,7.08
85666,OC(=O)c1ccc2NC(=O)\C(=C/c3cc4CCCCc4[nH]3)\c2c1,CHEMBL89010,6.51,CHEMBL3650,Fibroblast growth factor receptor 1,0.31
85667,NS(=O)(=O)c1ccc2NC(=O)\C(=C/c3[nH]c4CCCCc4c3CCC(=O)O)\c2c1,CHEMBL86531,6.7,CHEMBL3650,Fibroblast growth factor receptor 1,0.2
85668,OC(=O)CCc1c2CCCCc2[nH]c1\C=C\3/C(=O)Nc4ccccc34,CHEMBL315753,6.57,CHEMBL3650,Fibroblast growth factor receptor 1,0.27
85669,Brc1ccc2NC(=O)\C(=C/c3cc4CCCCc4[nH]3)\c2c1,CHEMBL88606,4.88,CHEMBL3650,Fibroblast growth factor receptor 1,13.3
85670,COc1ccccc1c2ccc3\C(=C\c4[nH]c5CCCCc5c4CCC(=O)O)\C(=O)Nc3c2,CHEMBL313821,7.1,CHEMBL3650,Fibroblast growth factor receptor 1,0.08
85671,CN1CCN(CC1)c2ccc(Nc3ncc4C=C(C(=O)N(C)c4n3)c5c(Cl)cccc5Cl)cc2,CHEMBL51283,7.55,CHEMBL3650,Fibroblast growth factor receptor 1,0.028
85672,CN1C(=O)C(=Cc2cnc(NC(=O)C)nc12)c3c(Cl)cccc3Cl,CHEMBL111913,5.24,CHEMBL3650,Fibroblast growth factor receptor 1,5.8
85673,CCN1C(=O)C(=Cc2cnc(Nc3ccccc3)nc12)c4c(Cl)cccc4Cl,CHEMBL322298,6.68,CHEMBL3650,Fibroblast growth factor receptor 1,0.21
85674,CN1C(=O)C(=Cc2cnc(Nc3cccc(Br)c3)nc12)c4c(Cl)cccc4Cl,CHEMBL111434,5.62,CHEMBL3650,Fibroblast growth factor receptor 1,2.4
85675,COc1cccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)c1,CHEMBL111197,6.43,CHEMBL3650,Fibroblast growth factor receptor 1,0.37
85676,CN1C(=O)C(=Cc2cnc(NC3CCCCC3)nc12)c4c(Cl)cccc4Cl,CHEMBL113128,5.17,CHEMBL3650,Fibroblast growth factor receptor 1,6.8
85677,CCOC(=O)c1cccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)c1,CHEMBL109547,5.82,CHEMBL3650,Fibroblast growth factor receptor 1,1.5
85678,CN1C(=O)C(=Cc2cnc(Nc3ccc(OCCN4CCCCC4)cc3)nc12)c5c(Cl)cccc5Cl,CHEMBL323775,7.41,CHEMBL3650,Fibroblast growth factor receptor 1,0.039
85679,COc1ccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cn1,CHEMBL111365,6.27,CHEMBL3650,Fibroblast growth factor receptor 1,0.54
85680,CCNCCOc1ccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cc1,CHEMBL113521,7.18,CHEMBL3650,Fibroblast growth factor receptor 1,0.066
85681,CN1C(=O)C(=Cc2cnc(NCc3cccnc3)nc12)c4c(Cl)cccc4Cl,CHEMBL110034,5.5,CHEMBL3650,Fibroblast growth factor receptor 1,3.15
85682,COc1ccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cc1C,CHEMBL113023,6.35,CHEMBL3650,Fibroblast growth factor receptor 1,0.45
85683,CN1CCN(CCCCCNc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)CC1,CHEMBL106232,6.62,CHEMBL3650,Fibroblast growth factor receptor 1,0.24
85684,CN1C(=O)C(=Cc2cnc(Nc3cccc(CO)c3)nc12)c4c(Cl)cccc4Cl,CHEMBL327127,7.1,CHEMBL3650,Fibroblast growth factor receptor 1,0.08
85685,CN1C(=O)C(=Cc2cnc(Nc3ccc(O)cc3)nc12)c4c(Cl)cccc4Cl,CHEMBL323405,6.82,CHEMBL3650,Fibroblast growth factor receptor 1,0.15
85686,CN1C(=O)C(=Cc2cnc(Nc3ccc(OCCN)cc3)nc12)c4c(Cl)cccc4Cl,CHEMBL331366,7.26,CHEMBL3650,Fibroblast growth factor receptor 1,0.055
85687,CN1C(=O)C(=Cc2cnc(NCc3ccccc3)nc12)c4c(Cl)cccc4Cl,CHEMBL113356,4.85,CHEMBL3650,Fibroblast growth factor receptor 1,14.0
85688,COc1cc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cc(OC)c1,CHEMBL324926,6.37,CHEMBL3650,Fibroblast growth factor receptor 1,0.43
85689,CC(C)Nc1ncc2C=C(C(=O)N(C)c2n1)c3c(Cl)cccc3Cl,CHEMBL109759,6.16,CHEMBL3650,Fibroblast growth factor receptor 1,0.7
85690,CCN(CC)CCOc1ccc(Nc2ncc3C=C(C(=O)N(CC)c3n2)c4c(Cl)cccc4Cl)cc1,CHEMBL112914,7.52,CHEMBL3650,Fibroblast growth factor receptor 1,0.03
85691,CN(C)CCOc1ccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cc1,CHEMBL112080,7.47,CHEMBL3650,Fibroblast growth factor receptor 1,0.034
85692,CN1CCN(Cc2ccc(Nc3ncc4C=C(C(=O)N(C)c4n3)c5c(Cl)cccc5Cl)cc2)CC1,CHEMBL112706,7.31,CHEMBL3650,Fibroblast growth factor receptor 1,0.049
85693,CN1C(=O)C(=Cc2cnc(Nc3cccc(O)c3)nc12)c4c(Cl)cccc4Cl,CHEMBL321193,6.75,CHEMBL3650,Fibroblast growth factor receptor 1,0.18
85694,CCOC(=O)CCCc1ccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cc1,CHEMBL419022,5.58,CHEMBL3650,Fibroblast growth factor receptor 1,2.6
85695,CC[N+]([O-])(CC)CCOc1ccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cc1,CHEMBL320339,7.34,CHEMBL3650,Fibroblast growth factor receptor 1,0.046
85696,COc1ccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cc1,CHEMBL104153,6.39,CHEMBL3650,Fibroblast growth factor receptor 1,0.41
85697,CN1C(=O)C(=Cc2cnc(Nc3ccc(CC(=O)O)cc3)nc12)c4c(Cl)cccc4Cl,CHEMBL50647,7.21,CHEMBL3650,Fibroblast growth factor receptor 1,0.061
85698,COc1ccccc1Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl,CHEMBL320705,5.5,CHEMBL3650,Fibroblast growth factor receptor 1,3.2
85699,CN1C(=O)C(=Cc2cnc(NCCCN3CCOCC3)nc12)c4c(Cl)cccc4Cl,CHEMBL48172,5.85,CHEMBL3650,Fibroblast growth factor receptor 1,1.41
85700,CN1C(=O)C(=Cc2cnc(NCCCCCC(=O)O)nc12)c3c(Cl)cccc3Cl,CHEMBL113863,6.24,CHEMBL3650,Fibroblast growth factor receptor 1,0.58
85701,CN1C(=O)C(=Cc2cnc(Nc3cccc(c3)C(=O)O)nc12)c4c(Cl)cccc4Cl,CHEMBL109631,6.96,CHEMBL3650,Fibroblast growth factor receptor 1,0.11
85702,CN1C(=O)C(=Cc2cnc(NCCO)nc12)c3c(Cl)cccc3Cl,CHEMBL111618,5.78,CHEMBL3650,Fibroblast growth factor receptor 1,1.66
85703,CN1C(=O)C(=Cc2cnc(Nc3cccnc3)nc12)c4c(Cl)cccc4Cl,CHEMBL325589,6.82,CHEMBL3650,Fibroblast growth factor receptor 1,0.15
85704,CN1C(=O)C(=Cc2cnc(N)nc12)c3c(Cl)cccc3Cl,CHEMBL49596,5.89,CHEMBL3650,Fibroblast growth factor receptor 1,1.3
85705,CCN(CC)CCOc1cccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)c1,CHEMBL297523,7.5,CHEMBL3650,Fibroblast growth factor receptor 1,0.032
85707,CCN1C(=O)C(=Cc2cnc(Nc3ccncc3)nc12)c4c(Cl)cccc4Cl,CHEMBL448154,6.96,CHEMBL3650,Fibroblast growth factor receptor 1,0.11
85708,CCN(CC)CCCNc1ncc2C=C(C(=O)N(C)c2n1)c3c(Cl)cccc3Cl,CHEMBL50470,4.86,CHEMBL3650,Fibroblast growth factor receptor 1,13.9
85709,CN1CCN(CCCCNc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)CC1,CHEMBL104244,6.5,CHEMBL3650,Fibroblast growth factor receptor 1,0.32
85710,CNc1ncc2C=C(C(=O)N(C)c2n1)c3c(Cl)cccc3Cl,CHEMBL107472,5.6,CHEMBL3650,Fibroblast growth factor receptor 1,2.5
85711,CN1C(=O)C(=Cc2cnc(NCc3ccccn3)nc12)c4c(Cl)cccc4Cl,CHEMBL326041,5.49,CHEMBL3650,Fibroblast growth factor receptor 1,3.21
85712,CN1C(=O)C(=Cc2cnc(Nc3ccc(Cl)cc3)nc12)c4c(Cl)cccc4Cl,CHEMBL111247,5.52,CHEMBL3650,Fibroblast growth factor receptor 1,3.0
85713,[I-].CC[N+](C)(CC)CCOc1ccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cc1,CHEMBL324543,7.4,CHEMBL3650,Fibroblast growth factor receptor 1,0.04
85714,CN1C(=O)C(=Cc2cnc(Nc3ccc(CCCC(=O)O)cc3)nc12)c4c(Cl)cccc4Cl,CHEMBL113070,6.96,CHEMBL3650,Fibroblast growth factor receptor 1,0.11
85715,CN1C(=O)C(=Cc2cnc(Nc3ccncc3)nc12)c4c(Cl)cccc4Cl,CHEMBL104779,6.72,CHEMBL3650,Fibroblast growth factor receptor 1,0.19
85716,CCN(CC)CCOc1ccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cc1,CHEMBL49120,7.37,CHEMBL3650,Fibroblast growth factor receptor 1,0.043
85717,CN1C(=O)C(=Cc2cnc(Nc3ccccc3)nc12)c4c(Cl)cccc4Cl,CHEMBL301612,6.34,CHEMBL3650,Fibroblast growth factor receptor 1,0.46
85719,CN1CCN(CCCNc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)CC1,CHEMBL299194,6.42,CHEMBL3650,Fibroblast growth factor receptor 1,0.38
85720,CN1C(=O)C(=Cc2cnc(NCCc3ccccn3)nc12)c4c(Cl)cccc4Cl,CHEMBL323699,5.18,CHEMBL3650,Fibroblast growth factor receptor 1,6.53
85721,CCNc1ncc2C=C(C(=O)N(C)c2n1)c3c(Cl)cccc3Cl,CHEMBL109296,6.02,CHEMBL3650,Fibroblast growth factor receptor 1,0.96
85722,CN1C(=O)C(=Cc2cnc(Nc3ccc(C)cc3)nc12)c4c(Cl)cccc4Cl,CHEMBL111339,6.04,CHEMBL3650,Fibroblast growth factor receptor 1,0.91
85723,CCOC(=O)c1ccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cc1,CHEMBL109525,4.47,CHEMBL3650,Fibroblast growth factor receptor 1,33.6
85724,CN(C)CCCOc1ccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cc1,CHEMBL110905,7.48,CHEMBL3650,Fibroblast growth factor receptor 1,0.033
85725,CCCCNc1ncc2C=C(C(=O)N(C)c2n1)c3c(Cl)cccc3Cl,CHEMBL332269,5.35,CHEMBL3650,Fibroblast growth factor receptor 1,4.48
85726,CN1C(=O)C(=Cc2cnc(NCCCCN3CCOCC3)cc12)c4c(Cl)cccc4Cl,CHEMBL320382,6.64,CHEMBL3650,Fibroblast growth factor receptor 1,0.23
85728,CNc1cc2N(C)C(=O)C(=Cc2cn1)c3c(Cl)cccc3Cl,CHEMBL107071,6.68,CHEMBL3650,Fibroblast growth factor receptor 1,0.21
