Unnamed: 0,canonical_smiles,molecule_chembl_id,pchembl_value,target_chembl_id,target_pref_name,value
99264,CCCCCCCCC#Cc1ccc2[C@@H]3[C@@H](CO)NC(=O)[C@@H]3[C@@](C)(C(C)C)c2c1,CHEMBL440201,6.33,CHEMBL3582,Protein kinase C epsilon,469.0
99265,CCCCCCCCC#Cc1ccc2N(C)[C@@H](C(C)C)C(=O)N[C@H](CO)Cc2c1,CHEMBL6453,7.4,CHEMBL3582,Protein kinase C epsilon,40.0
99266,CCCCCCCCCCCC(=O)Oc1ccc2[C@@H]3[C@@H](CO)NC(=O)[C@@H]3[C@](C)(C(C)C)c2c1,CHEMBL173348,6.64,CHEMBL3582,Protein kinase C epsilon,228.0
99267,CCCCCCCCCCCC(=O)Oc1ccc2[C@@H]3[C@@H](CO)NC(=O)[C@@H]3[C@@](C)(C(C)C)c2c1,CHEMBL368720,6.29,CHEMBL3582,Protein kinase C epsilon,515.0
99268,CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@@]3(O)[C@H]2C=C(C)C3=O)[C@@H]4C(C)(C)[C@]14OC(=O)C,CHEMBL279115,9.35,CHEMBL3582,Protein kinase C epsilon,0.45
99269,CC(C)(C)c1oc(CSc2cnc(NC(=O)Cc3ccc(CNC(CO)CO)cc3)s2)nc1,CHEMBL300936,5.25,CHEMBL3582,Protein kinase C epsilon,5600.0
99270,CN1CC[C@@H]([C@H](O)C1)c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4Cl,CHEMBL428690,6.32,CHEMBL3582,Protein kinase C epsilon,480.0
99271,OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)O[C@@H]3CCCNC[C@H]3NC(=O)c4ccc(O)cc4,CHEMBL60254,7.31,CHEMBL3582,Protein kinase C epsilon,0.049
99272,OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)O[C@@H]3CNC[C@H]3NC(=O)c4ccc(O)cc4,CHEMBL59828,8.0,CHEMBL3582,Protein kinase C epsilon,0.01
99273,OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)O[C@@H]3CCC[C@H]3NC(=O)c4ccc(O)cc4,CHEMBL52529,7.3,CHEMBL3582,Protein kinase C epsilon,0.05
99274,OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)O[C@@H]3CCNC[C@H]3NC(=O)c4ccc(O)cc4,CHEMBL67442,5.75,CHEMBL3582,Protein kinase C epsilon,1.8
99275,OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)O[C@@H]3CCCCC[C@H]3NC(=O)c4ccc(O)cc4,CHEMBL304549,6.55,CHEMBL3582,Protein kinase C epsilon,0.28
99276,CCN1CCC(CC1)n2cc(C3=C(C(=O)NC3=O)c4cn(C)c5ccccc45)c6ccccc26,CHEMBL54382,6.4,CHEMBL3582,Protein kinase C epsilon,0.4
99277,CN(C)C[C@@H]1CCn2cc(C3=C(C(=O)NC3=O)c4cn(CCO1)c5ccccc45)c6ccccc26.CS(=O)(=O)O,CHEMBL432130,6.22,CHEMBL3582,Protein kinase C epsilon,0.6
99278,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCN(Cc5ccccc5)C4)c6ccccc36)c7ccccc17,CHEMBL291975,5.03,CHEMBL3582,Protein kinase C epsilon,9.4
99279,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCNCC4)c5ccccc35)c6ccccc16,CHEMBL55788,6.0,CHEMBL3582,Protein kinase C epsilon,1.0
99280,CC(C)N1CCC(CC1)n2cc(C3=C(C(=O)NC3=O)c4cn(C)c5ccccc45)c6ccccc26,CHEMBL301860,6.41,CHEMBL3582,Protein kinase C epsilon,0.39
99281,CN1CCC(CC1)n2cc(C3=C(C(=O)NC3=O)c4c[nH]c5ccccc45)c6ccccc26,CHEMBL52654,7.3,CHEMBL3582,Protein kinase C epsilon,0.05
99282,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCN(CC5CC5)CC4)c6ccccc36)c7ccccc17,CHEMBL55394,6.05,CHEMBL3582,Protein kinase C epsilon,0.9
99283,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCN(Cc5ccccn5)CC4)c6ccccc36)c7ccccc17,CHEMBL300138,6.52,CHEMBL3582,Protein kinase C epsilon,0.3
99284,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCN(Cc5ccccc5)CC4)c6ccccc36)c7ccccc17,CHEMBL300549,5.4,CHEMBL3582,Protein kinase C epsilon,4.0
99285,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,CHEMBL388978,7.75,CHEMBL3582,Protein kinase C epsilon,0.018000000000000002
99286,CN1CCC(CC1)n2cc(C3=C(C(=O)NC3=O)c4cn(C)c5ccccc45)c6ccccc26,CHEMBL53596,6.4,CHEMBL3582,Protein kinase C epsilon,0.4
99287,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCN(CC4)C(=O)OC(C)(C)C)c5ccccc35)c6ccccc16,CHEMBL293805,5.22,CHEMBL3582,Protein kinase C epsilon,6.0
