Unnamed: 0,canonical_smiles,molecule_chembl_id,pchembl_value,target_chembl_id,target_pref_name,value
56255,Oc1cc(F)ccc1c2oc(\C=C\3/SC(=O)NC3=O)cc2,CHEMBL379156,7.52,CHEMBL3267,PI3-kinase p110-gamma subunit,30.0
56256,COC[C@H]1OC(=O)c2coc3C(=O)C4=C([C@@H](C[C@@]5(C)[C@H]4CCC5=O)OC(=O)C)[C@]1(C)c23,CHEMBL428496,8.3,CHEMBL3267,PI3-kinase p110-gamma subunit,5.0
56257,[O-][N+](=O)c1ccc(c(Br)c1)c2oc(\C=C\3/SC(=S)NC3=O)cc2,CHEMBL209560,5.44,CHEMBL3267,PI3-kinase p110-gamma subunit,3.6
56258,OC(=O)c1cccc(c1)c2oc(\C=C\3/SC(=S)NC3=O)cc2,CHEMBL377337,6.04,CHEMBL3267,PI3-kinase p110-gamma subunit,0.92
56259,O=C1C=C(Oc2c1cccc2c3ccccc3)N4CCOCC4,CHEMBL98350,5.14,CHEMBL3267,PI3-kinase p110-gamma subunit,7260.0
56260,Oc1ccc(cc1c2oc(\C=C\3/SC(=S)NC3=O)cc2)[N+](=O)[O-],CHEMBL437688,6.7,CHEMBL3267,PI3-kinase p110-gamma subunit,0.2
56261,Oc1c(F)cc(F)cc1c2ccc(\C=C\3/SC(=O)NC3=O)s2,CHEMBL209159,7.54,CHEMBL3267,PI3-kinase p110-gamma subunit,29.0
56262,Fc1ccc(c(F)c1)c2oc(\C=C\3/SC(=O)NC3=O)cc2,CHEMBL378107,5.42,CHEMBL3267,PI3-kinase p110-gamma subunit,3800.0
56263,Oc1ccc(c(F)c1)c2oc(\C=C\3/SC(=O)NC3=O)cc2,CHEMBL211068,6.58,CHEMBL3267,PI3-kinase p110-gamma subunit,260.0
56264,OC(=O)c1ccc(O)c(c1)c2oc(\C=C\3/SC(=O)NC3=O)cc2,CHEMBL208696,6.28,CHEMBL3267,PI3-kinase p110-gamma subunit,530.0
