Unnamed: 0,canonical_smiles,molecule_chembl_id,pchembl_value,target_chembl_id,target_pref_name,value
212865,COc1ccccc1C2=C(C(=O)NC2=O)c3cn(CCCNC(=O)OC(C)(C)C)c4ncccc34,CHEMBL109981,6.24,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,0.57
212866,OCCCOc1cc2OCCCCCOc3nc(NC(=O)Nc2cc1Cl)cnc3C#N,CHEMBL373598,5.68,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,2.07
212867,OCCCc1cc2OCCCCCOc3nc(NC(=O)Nc2cc1Cl)cnc3C#N,CHEMBL223367,6.13,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,0.74
212868,NC(=O)Nc1ccc2NC(=O)\C(=C/c3ccc[nH]3)\c2c1,CHEMBL442229,5.52,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,3.0
212869,NC(=O)Nc1ccc2NC(=O)\C(=C/c3cc(c[nH]3)C(=O)NCCN4CCCCC4)\c2c1,CHEMBL228701,6.0,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,1.0
212870,COc1cccc(c1)c2c[nH]c(\C=C\3/C(=O)Nc4ccc(NC(=O)N)cc34)c2,CHEMBL442227,8.0,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,0.01
212871,NC(=O)Nc1ccc2NC(=O)\C(=C/c3cc(c[nH]3)c4cccc(O)c4)\c2c1,CHEMBL228439,7.7,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,0.02
212872,NC(=O)Nc1ccc2NC(=O)\C(=C/c3cc(c[nH]3)c4cccc(c4)C(=O)NCCN5CCCCC5)\c2c1,CHEMBL425650,6.0,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,1.0
212873,CN(C)CCNC(=O)c1cccc(c1)c2c[nH]c(\C=C\3/C(=O)Nc4ccc(NC(=O)N)cc34)c2,CHEMBL228804,7.0,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,0.1
212874,NC(=O)Nc1ccc2NC(=O)\C(=C/c3cc(c[nH]3)c4cccnc4)\c2c1,CHEMBL375236,7.0,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,0.1
212875,CC(=O)Nc1cccc(c1)c2c[nH]c(\C=C\3/C(=O)Nc4ccc(NC(=O)N)cc34)c2,CHEMBL374611,6.0,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,1.0
212876,C\C(=C/1\C(=O)Nc2ccc(NC(=O)N)cc12)\c3ccc[nH]3,CHEMBL228654,7.0,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,0.1
212877,CC(=O)NCc1c[nH]c(c1)\C(=C\2/C(=O)Nc3ccc(NC(=O)N)cc23)\C,CHEMBL228755,6.0,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,1.0
212878,C\C(=C/1\C(=O)Nc2ccc(NC(=O)N)cc12)\c3cc(CNC(=O)c4cccnc4)c[nH]3,CHEMBL388739,6.0,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,1.0
212879,C\C(=C/1\C(=O)Nc2ccc(NC(=O)N)cc12)\c3cc(CNC(=O)CO)c[nH]3,CHEMBL388966,6.0,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,1.0
212880,C\C(=C/1\C(=O)Nc2ccc(NC(=O)N)cc12)\c3cc(CNC(=O)CCN4CCCCC4)c[nH]3,CHEMBL228867,6.0,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,1.0
212881,O=C1Nc2ccccc2/C/1=C/c3ccc[nH]3,CHEMBL86755,5.75,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,1800.0
212883,NC(=O)Nc1ccc2NC(=O)\C(=C(\c3ccncc3)/c4ccc[nH]4)\c2c1,CHEMBL232177,8.0,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,10.0
212884,NC(=O)Nc1ccc2NC(=O)\C(=C(\c3cccc(N)c3)/c4ccc[nH]4)\c2c1,CHEMBL391101,8.05,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,9.0
212885,CC\C(=C/1\C(=O)Nc2ccc(NC(=O)N)cc12)\c3ccc[nH]3,CHEMBL232176,8.52,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,3.0
212887,CCN(CC)C(=O)\C(=C/1\C(=O)Nc2ccc(cc12)S(=O)(=O)N)\c3ccc[nH]3,CHEMBL231979,5.27,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,5400.0
212888,CCNC(=O)\C(=C/1\C(=O)Nc2ccc(cc12)S(=O)(=O)N)\c3ccc[nH]3,CHEMBL401043,5.21,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,6100.0
212889,NC(=O)\C(=C/1\C(=O)Nc2ccc(cc12)S(=O)(=O)N)\c3ccc[nH]3,CHEMBL400838,5.41,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,3900.0
212890,NS(=O)(=O)c1ccc2NC(=O)\C(=C(\C(=O)O)/c3ccc[nH]3)\c2c1,CHEMBL232365,5.38,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,4200.0
212891,CCOC(=O)\C(=C/1\C(=O)Nc2ccc(cc12)S(=O)(=O)N)\c3ccc[nH]3,CHEMBL400837,7.47,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,34.0
212892,NS(=O)(=O)c1ccc2NC(=O)\C(=C(\c3ccccc3)/c4ccc[nH]4)\c2c1,CHEMBL267837,7.54,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,29.0
212893,CC\C(=C/1\C(=O)Nc2ccc(cc12)S(=O)(=O)N)\c3ccc[nH]3,CHEMBL234811,7.85,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,14.0
212894,C\C(=C/1\C(=O)Nc2ccc(cc12)S(=O)(=O)N)\c3ccc[nH]3,CHEMBL234601,7.17,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,67.0
212896,CC(=O)Nc1ccc2NC(=O)\C(=C/c3ccc[nH]3)\c2c1,CHEMBL393902,7.26,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,55.0
212897,CS(=O)(=O)Nc1ccc2NC(=O)\C(=C/c3ccc[nH]3)\c2c1,CHEMBL232360,6.28,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,530.0
212898,NCc1ccc2NC(=O)\C(=C/c3ccc[nH]3)\c2c1,CHEMBL393841,6.0,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,1000.0
212899,O=C1Nc2ccc(cc2/C/1=C/c3ccc[nH]3)C#N,CHEMBL393840,6.0,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,990.0
212900,Nc1ccc2NC(=O)\C(=C/c3ccc[nH]3)\c2c1,CHEMBL232144,6.24,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,580.0
212901,O=C1Nc2ccc(cc2/C/1=C/c3ccc[nH]3)n4ncnn4,CHEMBL232143,6.7,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,200.0
212902,NC(=O)c1ccc2NC(=O)\C(=C/c3ccc[nH]3)\c2c1,CHEMBL395163,6.92,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,120.0
212903,OC(=O)c1ccc2NC(=O)\C(=C/c3ccc[nH]3)\c2c1,CHEMBL107225,6.58,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,260.0
212904,COC(=O)c1ccc2NC(=O)\C(=C/c3ccc[nH]3)\c2c1,CHEMBL231947,6.17,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,670.0
212905,NS(=O)(=O)c1ccc2NC(=O)\C(=C/c3ccc[nH]3)\c2c1,CHEMBL441911,6.54,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,290.0
212906,COc1ccc2NC(=O)\C(=C/c3ccc[nH]3)\c2c1,CHEMBL232349,6.24,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,580.0
212907,Cc1cc(C)c(\C=C\2/C(=O)Nc3ccc(O)cc23)[nH]1,CHEMBL426078,5.96,CHEMBL2534,3-phosphoinositide dependent protein kinase-1,1100.0
