Unnamed: 0,canonical_smiles,molecule_chembl_id,pchembl_value,target_chembl_id,target_pref_name,value
208680,Nc1ncnc2c1c(cn2C3CCCC3O)c4ccc(Oc5ccccc5)cc4,CHEMBL419082,7.4,CHEMBL267,Tyrosine-protein kinase SRC,0.04
208681,CC(C)n1cc(c2ccc(Oc3ccccc3)cc2)c4c(N)ncnc14,CHEMBL307982,7.32,CHEMBL267,Tyrosine-protein kinase SRC,0.048
208682,Nc1ncnc2c1c(cn2C3CCC(O)C3)c4ccc(Oc5ccccc5)cc4,CHEMBL69129,7.06,CHEMBL267,Tyrosine-protein kinase SRC,0.08800000000000001
208683,Nc1ncnc2c1c(cn2C3CC(O)C(O)C3)c4ccc(Oc5ccccc5)cc4,CHEMBL69827,7.08,CHEMBL267,Tyrosine-protein kinase SRC,0.084
208684,Cc1ccc(cc1)c2nn(c3ncnc(N)c23)C(C)(C)C,CHEMBL306380,6.77,CHEMBL267,Tyrosine-protein kinase SRC,0.17
208685,CC(C)(C)n1cc(c2ccc(Cl)cc2)c3c(N)ncnc13,CHEMBL306012,6.82,CHEMBL267,Tyrosine-protein kinase SRC,0.15
208686,Nc1ncnc2c1c(cn2C3CCCC3)c4ccc(Oc5ccccc5)cc4,CHEMBL47940,7.16,CHEMBL267,Tyrosine-protein kinase SRC,0.07
208687,CC(C)(C)n1cc(c2ccc(Oc3ccccc3)cc2)c4c(N)ncnc14,CHEMBL302281,6.21,CHEMBL267,Tyrosine-protein kinase SRC,0.61
208688,Nc1ncnc2c1c(cn2c3ccc(CCOP(=O)(O)CP(=O)(O)O)cc3)c4cccc(O)c4,CHEMBL104215,7.22,CHEMBL267,Tyrosine-protein kinase SRC,0.06
208689,COc1cccc(c1)c2cn(c3ccc(cc3)C(=O)Nc4ccc(c(c4)P(=O)(O)O)P(=O)(O)O)c5ncnc(N)c25,CHEMBL321569,6.06,CHEMBL267,Tyrosine-protein kinase SRC,0.87
208690,COc1cc(Nc2c(cnc3cc(ccc23)c4cccc(CCN5CCOCC5)c4)C#N)c(Cl)cc1Cl,CHEMBL103293,7.54,CHEMBL267,Tyrosine-protein kinase SRC,29.0
208691,Cc1ccc(cc1)c2cn(c3ncnc(N)c23)C(C)(C)C,CHEMBL321779,6.92,CHEMBL267,Tyrosine-protein kinase SRC,0.12
208692,CCN1CCN(CCc2ccc(cc2)c3ccc4c(Nc5cc(OC)c(Cl)cc5Cl)c(cnc4c3)C#N)CC1,CHEMBL103454,8.43,CHEMBL267,Tyrosine-protein kinase SRC,3.7
208693,COc1cc(Nc2c(cnc3cc(ccc23)c4cccc(CN5CCN(C)CC5)c4)C#N)c(Cl)cc1Cl,CHEMBL102595,7.85,CHEMBL267,Tyrosine-protein kinase SRC,14.0
208694,COc1cc(Nc2c(cnc3cc(c(OC)cc23)c4cccc(CCN5CCOCC5)c4)C#N)c(Cl)cc1Cl,CHEMBL419171,7.13,CHEMBL267,Tyrosine-protein kinase SRC,74.0
208695,COc1cc(Nc2c(cnc3cc(ccc23)c4ccc(CCN5CCOCC5)cc4)C#N)c(Cl)cc1Cl,CHEMBL102165,7.85,CHEMBL267,Tyrosine-protein kinase SRC,14.0
208696,CN(CCO)CCc1ccc(cc1)n2cc(c3cccc(O)c3)c4c(N)ncnc24,CHEMBL105056,7.4,CHEMBL267,Tyrosine-protein kinase SRC,0.04
208697,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,CHEMBL288441,8.89,CHEMBL267,Tyrosine-protein kinase SRC,1.3
208698,COc1cccc(c1)c2ccc3\C(=C\c4[nH]c5CCCCc5c4CCC(=O)O)\C(=O)Nc3c2,CHEMBL432941,7.0,CHEMBL267,Tyrosine-protein kinase SRC,0.1
208699,COc1ccc2\C(=C\c3[nH]c4CCCCc4c3CCC(=O)O)\C(=O)Nc2c1,CHEMBL420609,5.86,CHEMBL267,Tyrosine-protein kinase SRC,1.39
208700,COc1cc(Nc2c(cnc3cc(ccc23)c4ccc(CN5CCOCC5)cc4)C#N)c(Cl)cc1Cl,CHEMBL322395,8.48,CHEMBL267,Tyrosine-protein kinase SRC,3.3
208701,OC(=O)CCc1c2CCCCc2[nH]c1\C=C\3/C(=O)Nc4ccc(cc34)C(=O)O,CHEMBL431996,7.22,CHEMBL267,Tyrosine-protein kinase SRC,0.06
208702,COc1cccc(c1)c2cn(c3cccc(c3)C(=O)Nc4ccc(cc4)C(P(=O)(O)O)P(=O)(O)O)c5ncnc(N)c25,CHEMBL104077,4.72,CHEMBL267,Tyrosine-protein kinase SRC,19.0
208703,OC(=O)CCc1c2CCCCc2[nH]c1\C=C\3/C(=O)Nc4cc(ccc34)c5ccccc5,CHEMBL88771,6.96,CHEMBL267,Tyrosine-protein kinase SRC,0.11
208704,COc1cccc(c1)c2cn(c3ccc(cc3)C(=O)NCCCP(=O)(O)CP(=O)(O)O)c4ncnc(N)c24,CHEMBL104857,6.6,CHEMBL267,Tyrosine-protein kinase SRC,0.25
208705,COc1cc(Nc2c(cnc3cc(ccc23)c4ccccc4CN5CCOCC5)C#N)c(Cl)cc1Cl,CHEMBL100076,5.4,CHEMBL267,Tyrosine-protein kinase SRC,4000.0
208706,COc1cccc(c1)c2cn(c3ccc(CCO)cc3)c4ncnc(N)c24,CHEMBL320417,5.94,CHEMBL267,Tyrosine-protein kinase SRC,1.15
208707,Cc1ccc(cc1)c2nn(c3cccc(c3)C(=O)NCCCP(=O)(O)CP(=O)(O)O)c4ncnc(N)c24,CHEMBL3706662,6.4,CHEMBL267,Tyrosine-protein kinase SRC,0.4
208708,COc1ccc(cc1)c2ccc3\C(=C\c4[nH]c5CCCCc5c4CCC(=O)O)\C(=O)Nc3c2,CHEMBL91815,7.22,CHEMBL267,Tyrosine-protein kinase SRC,0.06
208709,COc1cccc(c1)c2cn(c3cccc(c3)C(=O)Nc4ccc(c(c4)P(=O)(O)O)P(=O)(O)O)c5ncnc(N)c25,CHEMBL105516,5.6,CHEMBL267,Tyrosine-protein kinase SRC,2.5
208710,O=C1Nc2ccccc2/C/1=C/c3cc4CCCCc4[nH]3,CHEMBL328029,5.32,CHEMBL267,Tyrosine-protein kinase SRC,4.74
208711,OC(=O)CCc1c2CCCCc2[nH]c1\C=C\3/C(=O)Nc4ccc(Br)cc34,CHEMBL314995,5.9,CHEMBL267,Tyrosine-protein kinase SRC,1.27
208712,COc1cc(Nc2c(cnc3cc(ccc23)c4cccc(CN5CCOCC5)c4)C#N)c(Cl)cc1Cl,CHEMBL103839,7.55,CHEMBL267,Tyrosine-protein kinase SRC,28.0
208713,COc1cccc(c1)c2cn(c3ccc(CCN(C)CCOP(=O)(O)CP(=O)(O)O)cc3)c4ncnc(N)c24,CHEMBL421025,6.51,CHEMBL267,Tyrosine-protein kinase SRC,0.31
208714,CCN1CCN(Cc2ccc(cc2)c3ccc4c(Nc5cc(OC)c(Cl)cc5Cl)c(cnc4c3)C#N)CC1,CHEMBL100825,8.52,CHEMBL267,Tyrosine-protein kinase SRC,3.0
208715,NS(=O)(=O)c1ccc2NC(=O)\C(=C/c3cc4CCCCc4[nH]3)\c2c1,CHEMBL88483,7.1,CHEMBL267,Tyrosine-protein kinase SRC,0.08
208716,Cc1c[nH]c(\C=C\2/C(=O)Nc3ccccc23)c1CCC(=O)O,CHEMBL89363,4.97,CHEMBL267,Tyrosine-protein kinase SRC,10.6
208717,Nc1ncnc2c1c(cn2c3ccc(CCO)cc3)c4cccc(O)c4,CHEMBL102946,7.4,CHEMBL267,Tyrosine-protein kinase SRC,0.04
208718,Cc1cc(C)c(\C=C\2/C(=O)Nc3ccccc23)[nH]1,CHEMBL276711,4.79,CHEMBL267,Tyrosine-protein kinase SRC,16.4
208719,CN(CCOP(=O)(O)CP(=O)(O)O)CCc1ccc(cc1)n2cc(c3cccc(O)c3)c4c(N)ncnc24,CHEMBL318996,8.4,CHEMBL267,Tyrosine-protein kinase SRC,0.004
208720,COc1cc(Nc2c(cnc3cc(c(OC)cc23)c4ccc(CCN5CCOCC5)cc4)C#N)c(Cl)cc1Cl,CHEMBL101081,7.96,CHEMBL267,Tyrosine-protein kinase SRC,11.0
208721,COc1cc(Nc2c(cnc3cc(ccc23)c4ccc(CN5CCN(C)CC5)cc4)C#N)c(Cl)cc1Cl,CHEMBL317821,8.42,CHEMBL267,Tyrosine-protein kinase SRC,3.8
208722,COc1cccc(c1)c2cn(c3cccc(c3)C(=O)O)c4ncnc(N)c24,CHEMBL105005,5.4,CHEMBL267,Tyrosine-protein kinase SRC,4.0
208723,Nc1ncnc2c1c(nn2c3cccc(c3)P(=O)(O)CC(=O)O)c4cccc(O)c4,CHEMBL3706663,7.7,CHEMBL267,Tyrosine-protein kinase SRC,0.02
208724,Cc1ccc(cc1)c2nn(c3cccc(c3)C(=O)NCc4ccc(c(c4)P(=O)(O)O)P(=O)(O)O)c5ncnc(N)c25,CHEMBL3706661,6.5,CHEMBL267,Tyrosine-protein kinase SRC,0.32
208725,COc1cccc(c1)c2cn(c3ccc(cc3)C(=O)O)c4ncnc(N)c24,CHEMBL317693,5.82,CHEMBL267,Tyrosine-protein kinase SRC,1.5
208726,COc1cc(Nc2c(cnc3cc(c(OC)cc23)c4cccc(CN5CCOCC5)c4)C#N)c(Cl)cc1Cl,CHEMBL99637,6.82,CHEMBL267,Tyrosine-protein kinase SRC,150.0
208727,COc1cccc(c1)c2cn(c3ccc(cc3)C(=O)Nc4ccc(cc4)C(P(=O)(O)O)P(=O)(O)O)c5ncnc(N)c25,CHEMBL101795,4.4,CHEMBL267,Tyrosine-protein kinase SRC,40.0
208728,OC(=O)c1ccc2NC(=O)\C(=C/c3cc4CCCCc4[nH]3)\c2c1,CHEMBL89010,6.92,CHEMBL267,Tyrosine-protein kinase SRC,0.12
208729,NS(=O)(=O)c1ccc2NC(=O)\C(=C/c3[nH]c4CCCCc4c3CCC(=O)O)\c2c1,CHEMBL86531,6.17,CHEMBL267,Tyrosine-protein kinase SRC,0.68
208730,COc1cc(Nc2c(cnc3cc(c(OC)cc23)c4ccc(CN5CCOCC5)cc4)C#N)c(Cl)cc1Cl,CHEMBL318429,7.82,CHEMBL267,Tyrosine-protein kinase SRC,15.0
208731,OC(=O)CCc1c2CCCCc2[nH]c1\C=C\3/C(=O)Nc4ccccc34,CHEMBL315753,5.72,CHEMBL267,Tyrosine-protein kinase SRC,1.89
208732,COc1cccc(c1)c2cn(c3ccc(CCN(C)CCO)cc3)c4ncnc(N)c24,CHEMBL105436,6.8,CHEMBL267,Tyrosine-protein kinase SRC,0.16
208733,COc1cccc(c1)c2cn(c3cccc(c3)C(=O)NCCCP(=O)(O)CP(=O)(O)O)c4ncnc(N)c24,CHEMBL321116,6.44,CHEMBL267,Tyrosine-protein kinase SRC,0.36
208734,Cc1ccc(cc1)c2nn(CCCCOP(=O)(O)CP(=O)(O)O)c3ncnc(N)c23,CHEMBL421405,6.17,CHEMBL267,Tyrosine-protein kinase SRC,0.68
208735,CCN1CCN(Cc2ccc(cc2)c3cc4ncc(C#N)c(Nc5cc(OC)c(Cl)cc5Cl)c4cc3OC)CC1,CHEMBL103627,8.15,CHEMBL267,Tyrosine-protein kinase SRC,7.0
208736,COc1cc(Nc2c(cnc3cc(ccc23)c4ccc(CN5CCN(CCO)CC5)cc4)C#N)c(Cl)cc1Cl,CHEMBL102727,8.33,CHEMBL267,Tyrosine-protein kinase SRC,4.7
208737,COc1cccc(c1)c2cn(c3ccc(CCOP(=O)(O)CP(=O)(O)O)cc3)c4ncnc(N)c24,CHEMBL102183,6.16,CHEMBL267,Tyrosine-protein kinase SRC,0.7
208738,COc1cccc(c1)c2nn(c3cccc(c3)P(=O)(O)CC(=O)O)c4ncnc(N)c24,CHEMBL3706664,5.8,CHEMBL267,Tyrosine-protein kinase SRC,1.6
208739,Brc1ccc2NC(=O)\C(=C/c3cc4CCCCc4[nH]3)\c2c1,CHEMBL88606,5.31,CHEMBL267,Tyrosine-protein kinase SRC,4.92
208740,COc1ccccc1c2ccc3\C(=C\c4[nH]c5CCCCc5c4CCC(=O)O)\C(=O)Nc3c2,CHEMBL313821,6.08,CHEMBL267,Tyrosine-protein kinase SRC,0.84
208741,COc1cccc2c(C(=O)Nc3ccccc3)c(SSc4c(C(=O)Nc5ccccc5)c6cccc(OC)c6n4C)n(C)c12,CHEMBL292323,5.44,CHEMBL267,Tyrosine-protein kinase SRC,3.6
208742,CC(C)[C@@H]1NC(=O)[C@@H](Cc2ccc(OP(=O)(O)O)cc2)NC(=O)[C@H](CCCCNC(=O)[C@H]3CCCN3C(=O)[C@@H](NC(=O)[C@@H](CC(=O)N)NC1=O)C(C)C)\N=C(\C)/S,CHEMBL433805,4.26,CHEMBL267,Tyrosine-protein kinase SRC,55.0
208743,Cc1ccc2c(C(=O)Nc3ccccc3)c(SSc4c(C(=O)Nc5ccccc5)c6ccc(C)cc6n4C)n(C)c2c1,CHEMBL64459,4.0,CHEMBL267,Tyrosine-protein kinase SRC,100.0
208744,CC(C)[C@@H]1NC(=O)[C@@H](Cc2ccc(OP(=O)(O)O)cc2)NC(=O)[C@@H](CCCCNC(=O)[C@H]3CCCN3C(=O)[C@@H](NC(=O)[C@@H](CC(=O)N)NC1=O)C(C)C)NC(=O)C,CHEMBL359934,4.14,CHEMBL267,Tyrosine-protein kinase SRC,73.0
208745,Cn1c(SSc2c(C(=O)Nc3ccccc3)c4ccccc4n2C)c(C(=O)Nc5ccccc5)c6ccccc16,CHEMBL304414,5.5,CHEMBL267,Tyrosine-protein kinase SRC,3.2
208746,Oc1ccc(Nc2cc3C(=O)NC(=O)c3cc2Nc4ccc(O)cc4)cc1,CHEMBL267019,5.1,CHEMBL267,Tyrosine-protein kinase SRC,8.0
