Unnamed: 0,canonical_smiles,molecule_chembl_id,pchembl_value,target_chembl_id,target_pref_name,value
50197,CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C,CHEMBL535,5.3,CHEMBL4523,Serine/threonine-protein kinase PIM2,5.0
50198,CN(C)C[C@@H]1CCn2cc(C3=C(C(=O)NC3=O)c4cn(CCO1)c5ccccc45)c6ccccc26,CHEMBL91829,6.89,CHEMBL4523,Serine/threonine-protein kinase PIM2,0.13
50199,CN1CC[C@@H]([C@H](O)C1)c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4Cl,CHEMBL428690,6.19,CHEMBL4523,Serine/threonine-protein kinase PIM2,0.65
50200,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,CHEMBL388978,8.4,CHEMBL4523,Serine/threonine-protein kinase PIM2,0.004
50201,Oc1c2ccccc2c3N=Nc4cccc1c34,CHEMBL1725279,6.34,CHEMBL4523,Serine/threonine-protein kinase PIM2,0.46
50202,CC(C)NCc1ccc(Nc2cc([nH]n2)c3ccc(cc3)c4ccc(O)cc4O)cc1,CHEMBL398606,5.76,CHEMBL4523,Serine/threonine-protein kinase PIM2,1.72
50204,C[C@@H]1O[C@@H](OC2=C(Oc3cc(O)cc(O)c3C2=O)c4ccc(O)c(O)c4)[C@H](O)[C@H](O)[C@H]1O,CHEMBL82242,4.6,CHEMBL4523,Serine/threonine-protein kinase PIM2,25.0
50205,Cc1ccc(\C=C\2/SC(=NC2=O)O)cc1,CHEMBL447571,5.36,CHEMBL4523,Serine/threonine-protein kinase PIM2,4.4
50206,Cc1cccc(\C=C\2/SC(=O)NC2=O)c1,CHEMBL498406,7.0,CHEMBL4523,Serine/threonine-protein kinase PIM2,0.1
50207,FC(F)(F)c1ccc(\C=C\2/SC(=O)NC2=O)cc1,CHEMBL447567,7.1,CHEMBL4523,Serine/threonine-protein kinase PIM2,0.08
50208,FC(F)(F)c1cccc(\C=C\2/SC(=O)NC2=O)c1,CHEMBL183906,7.0,CHEMBL4523,Serine/threonine-protein kinase PIM2,0.1
