Unnamed: 0,canonical_smiles,molecule_chembl_id,pchembl_value,target_chembl_id,target_pref_name,value
113291,CC(=O)O.OC(=O)c1ccc2c3nc4ccccc4n3C(=O)c5cccc1c25,CHEMBL265470,7.08,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.083
113292,O=C1C=C(Oc2c1cccc2c3ccccc3)N4CCOCC4,CHEMBL98350,5.85,CHEMBL5407,Serine/threonine-protein kinase PIM3,1.4
113293,COc1ccc2c(c1)[nH]c3c(C)nccc23,CHEMBL269538,5.37,CHEMBL5407,Serine/threonine-protein kinase PIM3,4.3
113294,OC1Nc2ccc(I)cc2C1=Cc3cc(Br)c(O)c(Br)c3,CHEMBL1794051,7.0,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.1
113295,Clc1cc(NC(=O)c2cccnc2)c3[nH]c4cnccc4c3c1,CHEMBL79004,6.06,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.88
113296,N#C\C(=C/1\Nc2ccccc2S1)\c3ccnc(NCCc4cccnc4)n3,CHEMBL191384,7.52,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.03
113297,CN1CC[C@@H]([C@H](O)C1)c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4Cl,CHEMBL428690,6.22,CHEMBL5407,Serine/threonine-protein kinase PIM3,600.0
113298,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4,CHEMBL939,5.24,CHEMBL5407,Serine/threonine-protein kinase PIM3,5800.0
113299,CN(C)C[C@@H]1CCn2cc(C3=C(C(=O)NC3=O)c4cn(CCO1)c5ccccc45)c6ccccc26,CHEMBL91829,7.92,CHEMBL5407,Serine/threonine-protein kinase PIM3,12.0
113300,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35)N(C)C(=O)c9ccccc9,CHEMBL608533,6.25,CHEMBL5407,Serine/threonine-protein kinase PIM3,560.0
113301,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,CHEMBL388978,9.29,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.51
113302,Cc1[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c(C)c1C(=O)NC[C@H](O)CN4CCOCC4,CHEMBL1721885,5.62,CHEMBL5407,Serine/threonine-protein kinase PIM3,2400.0
113303,CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C,CHEMBL535,5.62,CHEMBL5407,Serine/threonine-protein kinase PIM3,2400.0
113304,Brc1ccc2[nH]c3c(ccc4cc[nH]c34)c2c1,CHEMBL575336,6.36,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.44
113305,FC(F)(F)C(=O)c1c[nH]c2c1ccc3c4ccccc4[nH]c23,CHEMBL583788,6.77,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.17
113306,NC(=O)c1c[nH]c2c1ccc3c4ccccc4[nH]c23,CHEMBL573176,6.68,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.21
113307,O=Cc1c[nH]c2c1ccc3c4ccccc4[nH]c23,CHEMBL583972,8.0,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.01
113308,Fc1ccc(c(F)c1)c2ccc3[nH]c4c(ccc5c(C=O)c[nH]c45)c3c2,CHEMBL575739,6.7,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.2
113309,Brc1ccc2[nH]c3c(ccc4c(C=O)c[nH]c34)c2c1,CHEMBL584195,7.4,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.04
113310,CN(C)CC1=Nc2c(sc3ccc(\C=C\C4CC4)cc23)C(=O)N1,CHEMBL576387,9.7,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.2
113311,CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccccc4)C(=O)N1,CHEMBL583273,9.52,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.3
113312,CN(C)CC1=Nc2c(sc3ccc(cc23)c4cccc(Cl)c4)C(=O)N1,CHEMBL582844,9.15,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.7
113313,CCc1ccc(cc1)c2ccc3sc4C(=O)NC(=Nc4c3c2)CN(C)C,CHEMBL572550,9.05,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.9
113314,CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccc(cc4)C#N)C(=O)N1,CHEMBL573702,9.0,CHEMBL5407,Serine/threonine-protein kinase PIM3,1.0
113315,CN(C)CC1=Nc2c(sc3ccc(cc23)c4ccc(O)cc4)C(=O)N1,CHEMBL585182,9.3,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.5
113316,Oc1cccc(NCC2=Nc3c(sc4ccc(Br)cc34)C(=O)N2)c1,CHEMBL584161,8.4,CHEMBL5407,Serine/threonine-protein kinase PIM3,4.0
113317,O[C@H]1CCN(CC2=Nc3c(sc4ccc(cc34)c5ccccc5)C(=O)N2)C1,CHEMBL572781,9.52,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.3
113318,O[C@H]1CCN(CC2=Nc3c(sc4ccc(cc34)c5ccc(O)cc5)C(=O)N2)C1,CHEMBL583187,9.4,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.4
113319,Clc1ccc(Cl)c2c3N=CNC(=O)c3sc12,CHEMBL583144,7.96,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.011
113320,Brc1ccc2sc3C(=O)NC(=Nc3c2c1)CNCCc4ccccc4,CHEMBL573929,7.37,CHEMBL5407,Serine/threonine-protein kinase PIM3,43.0
113321,CCN1\C(=C\C(=O)C)\Sc2ccc(OC)cc12,CHEMBL408982,6.55,CHEMBL5407,Serine/threonine-protein kinase PIM3,280.0
113322,Brc1cccc2[nH]c3c(ccc4c(C=O)c[nH]c34)c12,CHEMBL1240961,7.91,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.0124
113323,Brc1ccc2c(c1)[nH]c3c2ccc4c(C=O)c[nH]c34,CHEMBL1240962,7.05,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.09
113324,Brc1cccc2c3ccc4c(C=O)c[nH]c4c3[nH]c12,CHEMBL1241009,7.62,CHEMBL5407,Serine/threonine-protein kinase PIM3,0.024
