Unnamed: 0,canonical_smiles,molecule_chembl_id,pchembl_value,target_chembl_id,target_pref_name,value
115143,COc1ccccc1C2=C(C(=O)NC2=O)c3cn(CCCNC(=O)OC(C)(C)C)c4ncccc34,CHEMBL109981,5.75,CHEMBL3905,Tyrosine-protein kinase Lyn,1.8
115144,Nc1ncnc2c1c(cn2C3CCCC3)c4ccc(Oc5ccccc5)cc4,CHEMBL47940,6.38,CHEMBL3905,Tyrosine-protein kinase Lyn,0.42
115145,CCN(CC)C\C=C\c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c23)c1C,CHEMBL281957,8.7,CHEMBL3905,Tyrosine-protein kinase Lyn,0.002
115146,CN1CCN(CC1)[C@@H]2CC[C@H](CC2)n3cc(c4ccc(Oc5ccccc5)cc4)c6c(N)ncnc36,CHEMBL45177,6.37,CHEMBL3905,Tyrosine-protein kinase Lyn,0.43
115147,CN1CCN(CC1)[C@@H]2CC[C@@H](CC2)n3cc(c4ccc(Oc5ccccc5)cc4)c6c(N)ncnc36,CHEMBL47203,7.54,CHEMBL3905,Tyrosine-protein kinase Lyn,0.029
115148,COc1cc(Nc2c(cnc3cc4cc(OCCN5CCOCC5)c(OC)cc4cc23)C#N)c(Cl)cc1Cl,CHEMBL195029,6.85,CHEMBL3905,Tyrosine-protein kinase Lyn,0.14
115149,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C,CHEMBL607707,6.02,CHEMBL3905,Tyrosine-protein kinase Lyn,0.96
115150,CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C,CHEMBL535,6.27,CHEMBL3905,Tyrosine-protein kinase Lyn,0.54
115151,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,CHEMBL388978,6.68,CHEMBL3905,Tyrosine-protein kinase Lyn,0.21
115152,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC4CCN(C)CC4,CHEMBL24828,6.15,CHEMBL3905,Tyrosine-protein kinase Lyn,0.71
115153,Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl,CHEMBL31965,6.11,CHEMBL3905,Tyrosine-protein kinase Lyn,0.78
115154,COc1cc(ccc1NC(=O)c2cc3ccccc3n2C)c4nn([C@@H]5CC[C@H](CC5)N6CCN(CC6)C(=O)C)c7ncnc(N)c47,CHEMBL197603,5.93,CHEMBL3905,Tyrosine-protein kinase Lyn,1.18
115155,Cc1cc(Nc2ncc(s2)C(=O)Nc3c(C)cccc3Cl)nc(C)n1,CHEMBL364623,8.4,CHEMBL3905,Tyrosine-protein kinase Lyn,4.0
115156,Cc1cccc(C)c1c2cc(C)c3nc(Nc4ccc(OCCN5CCCC5)cc4)nnc3c2,CHEMBL436137,7.68,CHEMBL3905,Tyrosine-protein kinase Lyn,0.021
115157,CNc1ncnc(n1)c2cccnc2Oc3ccc(F)c(c3)C(=O)Nc4cc(ccc4N(C)CCCN(C)C)C(F)(F)F,CHEMBL373882,5.31,CHEMBL3905,Tyrosine-protein kinase Lyn,4900.0
115158,CN(C)[C@H]1CCCN(C1)c2ccc(cc2NC(=O)c3cc(ccc3F)C#Cc4cnc(N)nc4)C(F)(F)F,CHEMBL386637,6.75,CHEMBL3905,Tyrosine-protein kinase Lyn,180.0
115159,Cc1cc(cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12)c5c(Cl)cccc5Cl,CHEMBL230686,7.59,CHEMBL3905,Tyrosine-protein kinase Lyn,25.9
115160,COc1c(NC(=O)c2cc3cccc(NC(=O)c4ccc(NC5CC5)nc4)c3s2)cc(cc1NS(=O)(=O)C)C(C)(C)C,CHEMBL243575,6.64,CHEMBL3905,Tyrosine-protein kinase Lyn,230.0
115161,CN1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)CC1,CHEMBL941,6.66,CHEMBL3905,Tyrosine-protein kinase Lyn,220.0
115162,Cl.CN(C)C1CN(Cc2ccc(cc2C(F)(F)F)C(O)Nc3ccc(C)c(Nc4nccc(n4)c5cncnc5)c3)C1,CHEMBL536983,7.54,CHEMBL3905,Tyrosine-protein kinase Lyn,29.0
115163,Cl.CN(C)C[C@@H]1CCN(Cc2ccc(cc2C(F)(F)F)C(O)Nc3ccc(C)c(Nc4nccc(n4)c5cncnc5)c3)C1,CHEMBL538337,8.12,CHEMBL3905,Tyrosine-protein kinase Lyn,7.6
115164,Cl.CN(C)[C@@H]1CCN(Cc2ccc(cc2C(F)(F)F)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cncnc5)c3)C1,CHEMBL536073,8.47,CHEMBL3905,Tyrosine-protein kinase Lyn,3.4
115165,CN(C)[C@H]1CCN(Cc2ccc(cc2C(F)(F)F)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cncnc5)c3)C1,CHEMBL206834,7.96,CHEMBL3905,Tyrosine-protein kinase Lyn,11.0
115166,CN1CCN(Cc2ccc(cc2C(F)(F)F)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cncnc5)c3)CC1,CHEMBL205723,8.07,CHEMBL3905,Tyrosine-protein kinase Lyn,8.5
115167,CN1CCN(Cc2ccc(cc2C(F)(F)F)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)CC1,CHEMBL203343,8.32,CHEMBL3905,Tyrosine-protein kinase Lyn,4.8
115168,CN1CCN(Cc2ccc(cc2Br)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)CC1,CHEMBL383010,8.51,CHEMBL3905,Tyrosine-protein kinase Lyn,3.1
115169,CN1CCN(Cc2ccc(cc2F)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)CC1,CHEMBL205409,7.46,CHEMBL3905,Tyrosine-protein kinase Lyn,35.0
