Unnamed: 0,canonical_smiles,molecule_chembl_id,pchembl_value,target_chembl_id,target_pref_name,value
166237,CC(=O)O\N=C/1\C(=Nc2ccccc12)c3c(O)[nH]c4cc(Cl)ccc34,CHEMBL174068,4.52,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,30.0
166238,Oc1[nH]c2cc(Cl)ccc2c1c3[nH]c4ccccc4c3N=O,CHEMBL173040,6.19,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,0.65
166239,CC(=O)O\N=C/1\C(=Nc2ccccc12)c3c(O)[nH]c4ccccc34,CHEMBL176896,5.92,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,1.2
166240,Cn1c(O)c(c2[nH]c3ccccc3c2N=O)c4ccc(Br)cc14,CHEMBL173171,4.04,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,92.0
166241,CO\N=C/1\C(=Nc2ccccc12)c3c(O)[nH]c4cc(Br)ccc34,CHEMBL354276,5.43,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,3.7
166242,CC(=O)O\N=C/1\C(=Nc2ccccc12)c3c(O)[nH]c4cc(C=C)ccc34,CHEMBL368954,5.8,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,1.6
166243,CC(=O)O\N=C/1\C(=Nc2ccccc12)c3c(O)[nH]c4cc(Br)c(cc34)[N+](=O)[O-],CHEMBL172547,4.96,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,11.0
166244,CC(=O)O\N=C/1\C(=Nc2ccccc12)c3c(O)[nH]c4cc(I)ccc34,CHEMBL353554,5.66,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,2.2
166245,Oc1[nH]c2cc(F)ccc2c1c3[nH]c4ccccc4c3N=O,CHEMBL174292,6.5,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,0.32
166246,CC(=O)O\N=C/1\C(=Nc2ccccc12)c3c(O)[nH]c4cc(F)ccc34,CHEMBL352781,6.22,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,0.6
166247,Oc1[nH]c2cc(C=C)ccc2c1c3[nH]c4ccccc4c3N=O,CHEMBL369823,5.92,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,1.2
166248,Oc1[nH]c2cccc(Cl)c2c1C3=Nc4ccccc4C3=O,CHEMBL176306,5.0,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,10.0
166249,O\N=C/1\C(=C/2\C(=O)Nc3cc(Br)ccc23)\Nc4ccccc14,CHEMBL409450,6.5,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,0.32
166250,Oc1[nH]c2ccccc2c1c3[nH]c4cc(Br)ccc4c3N=O,CHEMBL354042,5.52,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,3.0
166251,CO\N=C/1\C(=Nc2ccccc12)c3c(O)[nH]c4ccccc34,CHEMBL170138,6.0,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,1.0
166252,Oc1[nH]c2cc(C=C)ccc2c1C3=Nc4ccccc4C3=O,CHEMBL175053,5.38,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,4.2
166253,Cc1cc2c(c(O)[nH]c2cc1Br)c3[nH]c4ccccc4c3N=O,CHEMBL175155,6.52,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,0.3
166254,CC(=O)O\N=C/1\C(=C/2\C(=O)Nc3cc(Cl)c(Cl)cc23)\Nc4ccccc14,CHEMBL253769,4.52,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,30.0
166255,Oc1[nH]c2cc(I)ccc2c1C3=Nc4ccccc4C3=O,CHEMBL174343,5.8,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,1.6
166256,Oc1[nH]c2ccccc2c1c3[nH]c4ccccc4c3N=O,CHEMBL126077,6.75,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,0.18
166257,Cc1cc2c(C3=Nc4ccccc4C3=O)c(O)[nH]c2cc1Br,CHEMBL173178,4.52,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,30.0
166258,Oc1[nH]c2cc(I)ccc2c1c3[nH]c4ccccc4c3N=O,CHEMBL177146,5.89,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,1.3
166259,O=C1Nc2ccccc2/C/1=C\3/Nc4ccccc4C3=O,CHEMBL1276127,5.0,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,10.0
